eco_region,year,system:index,caAcreage,chunk,mxAcreage,totalAcreage,usAcreage,us_mill_acres,canada_mill_acres,mx_mill_acres,total_mill_acres
NORTH AMERICAN DESERTS,1998,0,0.0,10,13520173491.702734,16011916725.476408,2491733579.637454,0.6157207770760135,0.0,3.3409076301507956,3.956630792815824
NORTH AMERICAN DESERTS,1999,0,0.0,14,13622303394.30741,16106918314.500095,2484606497.7717485,0.6139596367917961,0.0,3.366144478708095,3.980106196725431
NORTH AMERICAN DESERTS,2000,0,0.0,18,12600760802.931778,14992749587.301874,2391980702.1962905,0.5910713042288489,0.0,3.11371580683156,3.7047891082090514
NORTH AMERICAN DESERTS,2001,0,0.0,22,10253794474.79632,12536866643.49892,2283063460.1551065,0.5641572675699491,0.0,2.533767796683115,3.0979272161820157
NORTH AMERICAN DESERTS,2002,0,0.0,26,10647539011.453964,12880155502.909134,2232607722.47237,0.5516893832552552,0.0,2.6310641906722165,3.1827557407903124
NORTH AMERICAN DESERTS,2003,0,0.0,30,12461906757.721102,14645987886.823994,2184073383.6962776,0.5396962869506197,0.0,3.079404225001168,3.6191024258834448
NORTH AMERICAN DESERTS,2004,0,0.0,34,14126564479.382814,16389506428.797354,2262933172.618164,0.5591829651861392,0.0,3.4907501065685977,4.049935240548354
NORTH AMERICAN DESERTS,2005,0,0.0,38,14288967470.56018,16803347989.340273,2514371095.520162,0.6213146290769964,0.0,3.5308807596786886,4.152197717293927
NORTH AMERICAN DESERTS,2006,0,0.0,42,13645095910.964607,16210383583.68799,2565278813.1739006,0.6338942000749067,0.0,3.3717766322346088,4.005673021551871
NORTH AMERICAN DESERTS,2007,0,0.0,46,14396433673.050987,16728478719.949446,2332034034.6596804,0.5762581600707446,0.0,3.5574362366557564,4.133697117909967
NORTH AMERICAN DESERTS,2008,0,0.0,50,15115810912.77295,17325243975.29852,2209422432.018223,0.5459601732097583,0.0,3.7351982240014703,4.281161024066803
NORTH AMERICAN DESERTS,2009,0,0.0,54,15077244435.949879,17316045117.029408,2238791984.5978727,0.5532175477077768,0.0,3.725668240028609,4.2788879366838035
NORTH AMERICAN DESERTS,2010,0,0.0,58,15591577815.36245,18011083340.656364,2419496496.4780025,0.5978706050752357,0.0,3.8527627860250226,4.45063562216926
NORTH AMERICAN DESERTS,2011,0,0.0,62,15932951317.109152,19113602317.15249,3180642161.395208,0.7859537950682242,0.0,3.9371180154469503,4.723073994592694
NORTH AMERICAN DESERTS,2012,0,0.0,66,15038301465.109943,18058444387.03123,3020135036.479182,0.7462916207141299,0.0,3.7160452223580354,4.462338791607346
NORTH AMERICAN DESERTS,2013,0,0.0,70,13249757683.63437,15289752417.812145,2039986858.2009013,0.5040917310826909,0.0,3.2740864287036824,3.778180105982644
NORTH AMERICAN DESERTS,2014,0,0.0,74,15783600029.865551,18277708261.919724,2494100790.7148714,0.6163057276726589,0.0,3.9002125086181216,4.516520075085768
NORTH AMERICAN DESERTS,2015,0,0.0,78,16166760834.237371,18828906549.08986,2662137703.7162733,0.6578285531850604,0.0,3.994893605401837,4.652724138181768
NORTH AMERICAN DESERTS,2016,0,0.0,82,14968847353.052818,17448152868.644257,2479297320.8708286,0.6126477106076397,0.0,3.6988827374935176,4.311532473060721
NORTH AMERICAN DESERTS,2017,0,0.0,86,15482530019.835125,17948434792.53342,2465896671.564005,0.6093363380468053,0.0,3.825816488897109,4.435154828777795
NORTH AMERICAN DESERTS,2018,0,0.0,90,15855148164.768211,18318528449.51387,2463371514.0517564,0.6087123580361065,0.0,3.9178924377969926,4.526606963118763
NORTH AMERICAN DESERTS,2019,0,0.0,94,16249030659.128948,18569869504.346493,2320829970.8549256,0.5734895756086462,0.0,4.015222921876963,4.588714690388371
NORTH AMERICAN DESERTS,2020,0,0.0,98,15773007766.756897,17957052598.821686,2184036380.0005693,0.5396871431382706,0.0,3.8975951034005045,4.43728433508933
NORTH AMERICAN DESERTS,2021,0,0.0,102,15159356220.76992,17710994894.648727,2551629343.8871155,0.6305213427579709,0.0,3.7459585039515484,4.376482152200676
SOUTHERN SEMIARID HIGHLANDS,1996,0,0.0,3,22697856061.366276,23536100350.12271,838244288.7657133,0.2071346748609661,0.0,5.608762383857018,5.815897058715691
SOUTHERN SEMIARID HIGHLANDS,1997,0,0.0,7,22222280325.238976,23010064492.165955,787784166.926977,0.19466570719773077,0.0,5.491245060095059,5.68591076729279
SOUTHERN SEMIARID HIGHLANDS,1998,0,0.0,11,22765500642.49301,23563685048.873226,798184406.3802015,0.1972356623366938,0.0,5.625477723890438,5.822713386227136
SOUTHERN SEMIARID HIGHLANDS,1999,0,0.0,15,22827732463.42189,23645801427.901978,818068964.4801083,0.20214924365419126,0.0,5.640855541749586,5.843004785403771
SOUTHERN SEMIARID HIGHLANDS,2000,0,0.0,19,21647819692.670113,22398082421.38417,750262728.7140642,0.18539395788943364,0.0,5.349292746262075,5.5346867041515075
SOUTHERN SEMIARID HIGHLANDS,2001,0,0.0,23,21597122663.97707,22324970502.43723,727847838.460155,0.17985511787941194,0.0,5.336765237640201,5.5166203555196125
SOUTHERN SEMIARID HIGHLANDS,2002,0,0.0,27,22310796168.507324,23032291559.737312,721495391.2299886,0.1782853939824207,0.0,5.513117801324744,5.691403195307164
SOUTHERN SEMIARID HIGHLANDS,2003,0,0.0,31,22873888853.935303,23507947136.22072,634058282.2854196,0.15667921380947328,0.0,5.652261034241314,5.808940248050787
SOUTHERN SEMIARID HIGHLANDS,2004,0,0.0,35,23387083929.571846,24007956677.028984,620872747.4497435,0.15342099719212263,0.0,5.77907429924876,5.93249529644271
SOUTHERN SEMIARID HIGHLANDS,2005,0,0.0,39,23382174658.09912,24032789731.156982,650615073.0578701,0.16077048591159804,0.0,5.777861191848047,5.938631677759643
SOUTHERN SEMIARID HIGHLANDS,2006,0,0.0,43,23280272860.40969,23971902614.478157,691629754.0684664,0.1709054343144861,0.0,5.752680709242877,5.923586143557364
SOUTHERN SEMIARID HIGHLANDS,2007,0,0.0,47,23510703337.3376,24190959476.097,680256129.7459599,0.16809495053594214,0.0,5.809621320179578,5.977716272942789
SOUTHERN SEMIARID HIGHLANDS,2008,0,0.0,51,23815833485.646183,24481210730.484623,665377235.825001,0.16441829577561362,0.0,5.885020621919218,6.0494389199221015
SOUTHERN SEMIARID HIGHLANDS,2009,0,0.0,55,23386992885.837402,24042216716.323006,655223830.4856102,0.16190933467454477,0.0,5.779051801852017,5.9409611365265595
SOUTHERN SEMIARID HIGHLANDS,2010,0,0.0,59,23451455862.585342,24078787140.761044,627331278.1752837,0.1550169348917211,0.0,5.794980950321272,5.949997885213096
SOUTHERN SEMIARID HIGHLANDS,2011,0,0.0,63,23016484872.606796,23634966096.609985,618481224.0031812,0.15283003887822175,0.0,5.68749727785173,5.840327316729953
SOUTHERN SEMIARID HIGHLANDS,2012,0,0.0,67,22984727043.700615,23613165291.352673,628438247.6515735,0.15529047300659446,0.0,5.679649747420644,5.834940220427359
SOUTHERN SEMIARID HIGHLANDS,2013,0,0.0,71,24054498394.906788,24718173239.679802,663674829.7463264,0.16399762207188126,0.0,5.943996005399862,6.107993631184919
SOUTHERN SEMIARID HIGHLANDS,2014,0,0.0,75,26621030963.76997,27324834386.209133,703803407.4124713,0.17391360956968946,0.0,6.578200015252819,6.752113628535685
SOUTHERN SEMIARID HIGHLANDS,2015,0,0.0,79,25867944515.885136,26612833100.843502,744888584.9583622,0.18406597804583394,0.0,6.392108301160122,6.576174279205957
SOUTHERN SEMIARID HIGHLANDS,2016,0,0.0,83,23563494414.970352,24321888010.953987,758393544.9687661,0.18740312634288273,0.0,5.822666279563818,6.010069418512749
SOUTHERN SEMIARID HIGHLANDS,2017,0,0.0,87,25619946653.430653,26468107623.062733,848160903.5904261,0.20958512375154295,0.0,6.3308266947189225,6.540411834789713
SOUTHERN SEMIARID HIGHLANDS,2018,0,0.0,91,26364639911.752487,27248440932.839252,883801006.0499116,0.21839198487054592,0.0,6.514844406501697,6.733236395087931
SOUTHERN SEMIARID HIGHLANDS,2019,0,0.0,95,26157402095.773003,26999972758.873466,842570663.098397,0.20820374524144766,0.0,6.463634826899295,6.671838572141254
SOUTHERN SEMIARID HIGHLANDS,2020,0,0.0,99,26481782285.96398,27337165691.422554,855383405.4585795,0.21136984283187873,0.0,6.543790917584365,6.755160760416242
SOUTHERN SEMIARID HIGHLANDS,2021,0,0.0,103,26310586628.305164,27359179788.77145,1048592505.3076739,0.259112851181331,0.0,6.5014875492679725,6.760600562342523
TEMPERATE SIERRAS,1996,0,0.0,1,0.0,19494701.183852013,19494701.183852013,0.004817245575481033,0.0,0.0,0.004817245575481033
TEMPERATE SIERRAS,1997,0,0.0,5,0.0,19421670.75080758,19421670.75080758,0.004799199362454173,0.0,0.0,0.004799199362454173
TEMPERATE SIERRAS,1998,0,0.0,9,0.0,10572682.212186208,10572682.212186208,0.0026125666727227765,0.0,0.0,0.0026125666727227765
TEMPERATE SIERRAS,1999,0,0.0,13,0.0,8681092.146524347,8681092.146524347,0.002145144587690696,0.0,0.0,0.002145144587690696
TEMPERATE SIERRAS,2000,0,0.0,17,0.0,8621422.764255181,8621422.764255181,0.002130399962214419,0.0,0.0,0.002130399962214419
TEMPERATE SIERRAS,2001,0,0.0,21,0.0,9445940.81943096,9445940.81943096,0.002334142810886026,0.0,0.0,0.002334142810886026
TEMPERATE SIERRAS,2002,0,0.0,25,0.0,9257936.93560791,9257936.93560791,0.0022876860394290713,0.0,0.0,0.0022876860394290713
TEMPERATE SIERRAS,2003,0,0.0,29,0.0,10701266.517211914,10701266.517211914,0.0026443405464856872,0.0,0.0,0.0026443405464856872
TEMPERATE SIERRAS,2004,0,0.0,33,0.0,15538091.581031948,15538091.581031948,0.0038395460496797036,0.0,0.0,0.0038395460496797036
TEMPERATE SIERRAS,2005,0,0.0,37,0.0,14900404.21065171,14900404.21065171,0.0036819700686716505,0.0,0.0,0.0036819700686716505
TEMPERATE SIERRAS,2006,0,0.0,41,0.0,11135350.5527765,11135350.5527765,0.002751605047746295,0.0,0.0,0.002751605047746295
TEMPERATE SIERRAS,2007,0,0.0,45,0.0,5925994.863683363,5925994.863683363,0.001464345222231374,0.0,0.0,0.001464345222231374
TEMPERATE SIERRAS,2008,0,0.0,49,0.0,7436208.242401961,7436208.242401961,0.0018375270754977665,0.0,0.0,0.0018375270754977665
TEMPERATE SIERRAS,2009,0,0.0,53,0.0,7516548.211701278,7516548.211701278,0.001857379514270308,0.0,0.0,0.001857379514270308
TEMPERATE SIERRAS,2010,0,0.0,57,0.0,6189120.023376465,6189120.023376465,0.0015293648652295068,0.0,0.0,0.0015293648652295068
TEMPERATE SIERRAS,2011,0,0.0,61,0.0,17350703.6967637,17350703.6967637,0.004287452258255236,0.0,0.0,0.004287452258255236
TEMPERATE SIERRAS,2012,0,0.0,65,0.0,19115787.714647003,19115787.714647003,0.004723614018074553,0.0,0.0,0.004723614018074553
TEMPERATE SIERRAS,2013,0,0.0,69,0.0,25650524.277918436,25649882.33618475,0.006338223963029741,0.0,0.0,0.006338382590286817
TEMPERATE SIERRAS,2014,0,0.0,73,0.0,43154959.12193388,43154317.18020019,0.010663664015092531,0.0,0.0,0.010663822642349607
TEMPERATE SIERRAS,2015,0,0.0,77,0.0,38119635.55916437,38119635.55916437,0.009419567091822933,0.0,0.0,0.009419567091822933
TEMPERATE SIERRAS,2016,0,0.0,81,0.0,16391446.115229588,16391446.115229588,0.0040504145475044025,0.0,0.0,0.0040504145475044025
TEMPERATE SIERRAS,2017,0,0.0,85,0.0,11438261.347218473,11438261.347218473,0.002826455935201791,0.0,0.0,0.002826455935201791
TEMPERATE SIERRAS,2018,0,0.0,89,0.0,9923949.153436638,9923949.153436638,0.0024522612426750336,0.0,0.0,0.0024522612426750336
TEMPERATE SIERRAS,2019,0,0.0,93,0.0,10232141.038146973,10232141.038146973,0.00252841711595663,0.0,0.0,0.00252841711595663
TEMPERATE SIERRAS,2020,0,0.0,97,0.0,9818467.711502854,9818467.711502854,0.002426196210712821,0.0,0.0,0.002426196210712821
TEMPERATE SIERRAS,2021,0,0.0,101,0.0,210701168.89815673,210701168.89815676,0.052065392747034187,0.0,0.0,0.05206539274703418
