index,coordinates,year,masked_ag,masked_urb,window_ag,cdl_ag,landcover,category,observer,landcover_code,strata,geometry,eco_region,strata_def,glad_ag
15555,"[-98.72893705927817, 37.36636747399982]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-98.72893705927817 37.36636747399982),GREAT PLAINS,likely non-cropland,-999.0
8478,"[-94.3774079914748, 43.93799293497619]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-94.3774079914748 43.93799293497619),GREAT PLAINS,cropland gain,-999.0
11889,"[-101.7596731648406, 35.29395411353609]",1996,0,0,0,-999.0,na,310,sean,0,3.0,POINT (-101.7596731648406 35.29395411353609),GREAT PLAINS,cropland loss,-999.0
18828,"[-98.95558200546152, 35.43463028702921]",1996,0,0,0,-999.0,na,510,sean,0,5.0,POINT (-98.95558200546152 35.43463028702921),GREAT PLAINS,possible errors,-999.0
12057,"[-105.83712623945911, 50.95158951573935]",1996,0,0,1,-999.0,ag,310,sean,1,3.0,POINT (-105.83712623945911 50.95158951573935),GREAT PLAINS,cropland loss,-999.0
15558,"[-95.68796015947676, 28.810453381931854]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-95.68796015947676 28.810453381931854),GREAT PLAINS,likely non-cropland,-999.0
8510,"[-110.79528761862841, 48.50350070345683]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-110.79528761862841 48.50350070345683),GREAT PLAINS,cropland gain,-999.0
8632,"[-107.00161234226326, 47.425252867928165]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-107.00161234226326 47.425252867928165),GREAT PLAINS,cropland gain,-999.0
5036,"[-97.90239716635979, 25.50213785357648]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-97.90239716635979 25.50213785357648),GREAT PLAINS,likely stable croplands,-999.0
8666,"[-96.53120871667976, 43.460179035353015]",1996,1,0,1,-999.0,na,210,sean,0,2.0,POINT (-96.53120871667976 43.460179035353015),GREAT PLAINS,cropland gain,-999.0
18769,"[-99.54604464171328, 39.767025239280834]",1996,1,0,1,-999.0,ag,510,sean,1,5.0,POINT (-99.54604464171328 39.767025239280834),GREAT PLAINS,possible errors,-999.0
12005,"[-96.841127489701, 40.99807650463823]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-96.841127489701 40.99807650463823),GREAT PLAINS,cropland loss,-999.0
8619,"[-112.45618274743698, 48.9023526896059]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-112.45618274743698 48.9023526896059),GREAT PLAINS,cropland gain,-999.0
11891,"[-108.12028436557729, 52.09909745967363]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-108.12028436557729 52.09909745967363),GREAT PLAINS,cropland loss,-999.0
18884,"[-98.45378308775236, 48.21002110013498]",1996,0,0,0,-999.0,na,510,sean,0,5.0,POINT (-98.45378308775236 48.21002110013498),GREAT PLAINS,possible errors,-999.0
8404,"[-102.46251504313572, 50.251712077881834]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-102.46251504313572 50.251712077881834),GREAT PLAINS,cropland gain,-999.0
8608,"[-99.42908399172092, 41.09401657698219]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-99.42908399172092 41.09401657698219),GREAT PLAINS,cropland gain,-999.0
4816,"[-90.77911628940564, 42.20891567610293]",1996,1,0,1,-999.0,na,110,sean,0,1.0,POINT (-90.77911628940564 42.20891567610293),GREAT PLAINS,likely stable croplands,-999.0
8503,"[-95.75910672997902, 38.21823985793037]",1996,1,0,1,-999.0,ag,210,sean,1,2.0,POINT (-95.75910672997902 38.21823985793037),GREAT PLAINS,cropland gain,-999.0
8469,"[-94.83932171056905, 43.82076279039859]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-94.83932171056905 43.82076279039859),GREAT PLAINS,cropland gain,-999.0
15395,"[-99.71474825207093, 45.78079690881897]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-99.71474825207093 45.78079690881897),GREAT PLAINS,likely non-cropland,-999.0
15423,"[-109.35160512551992, 49.98140900889027]",1996,0,0,0,-999.0,ag,410,sean,1,4.0000000001,POINT (-109.35160512551992 49.98140900889027),GREAT PLAINS,likely non-cropland,-999.0
4828,"[-109.63268797792092, 51.07582651953308]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-109.63268797792092 51.07582651953308),GREAT PLAINS,likely stable croplands,-999.0
15593,"[-96.81822044995594, 37.60810411695639]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-96.81822044995594 37.60810411695639),GREAT PLAINS,likely non-cropland,-999.0
15461,"[-105.52235656390363, 47.62629582851412]",1996,1,0,1,-999.0,ag,410,sean,1,4.0000000001,POINT (-105.52235656390363 47.62629582851412),GREAT PLAINS,likely non-cropland,-999.0
18763,"[-98.71923525420968, 44.11801531791374]",1996,1,0,1,-999.0,ag,510,sean,1,5.0,POINT (-98.71923525420968 44.11801531791374),GREAT PLAINS,possible errors,-999.0
15402,"[-110.43632083109424, 49.94502723988342]",1996,0,0,0,-999.0,ag,410,sean,1,4.0000000001,POINT (-110.43632083109424 49.94502723988342),GREAT PLAINS,likely non-cropland,-999.0
18883,"[-95.9941060083047, 45.25932488638759]",1996,0,0,0,-999.0,ag,510,sean,1,5.0,POINT (-95.9941060083047 45.25932488638759),GREAT PLAINS,possible errors,-999.0
12008,"[-99.865665219803, 28.946278652890726]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-99.865665219803 28.946278652890726),GREAT PLAINS,cropland loss,-999.0
11914,"[-100.52296251319326, 49.582018033570726]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-100.52296251319326 49.582018033570726),GREAT PLAINS,cropland loss,-999.0
8621,"[-95.3898991482059, 42.992875424554036]",1996,1,0,1,-999.0,ag,210,sean,1,2.0,POINT (-95.3898991482059 42.992875424554036),GREAT PLAINS,cropland gain,-999.0
