eco_region,year,system:index,caAcreage,chunk,mxAcreage,totalAcreage,usAcreage,us_mill_acres,canada_mill_acres,mx_mill_acres,total_mill_acres
NORTH AMERICAN DESERTS,2009,0,0.0,54,21421101579.90997,24998797600.436806,3577680013.716181,0.8840639850810869,0.0,5.293269480489739,6.177337420939883
NORTH AMERICAN DESERTS,2010,0,0.0,58,21969351663.164127,25802485934.46634,3833117905.6484857,0.9471840628456212,0.0,5.428745026532007,6.375933133418738
NORTH AMERICAN DESERTS,2011,0,0.0,62,22818089690.14541,27469341381.974716,4651235121.971693,1.149345229789915,0.0,5.638472760579286,6.78782208487019
NORTH AMERICAN DESERTS,2012,0,0.0,66,23195560710.130726,27864609477.889774,4669031736.15304,1.1537428689286287,0.0,5.731747881020874,6.885494958551005
NORTH AMERICAN DESERTS,2013,0,0.0,70,23647631037.90928,28357214445.43781,4709566254.502689,1.1637591665539468,0.0,5.8434568918828305,7.007220297041773
NORTH AMERICAN DESERTS,2014,0,0.0,74,24401963453.876938,29383379599.57755,4981398910.182686,1.230930478670821,0.0,6.029856491394112,7.260791229054167
NORTH AMERICAN DESERTS,2015,0,0.0,78,24797343091.654465,29883074421.60285,5085713852.756966,1.256707262363651,0.0,6.127556927669419,7.384268508741125
NORTH AMERICAN DESERTS,2016,0,0.0,82,25239693809.859016,30399723001.446503,5160011396.052636,1.275066585152689,0.0,6.236864170698453,7.511935153223574
NORTH AMERICAN DESERTS,2017,0,0.0,86,25705883206.158348,30919871874.920174,5213970683.272593,1.2884002154127803,0.0,6.3520620793752665,7.640466739099227
NORTH AMERICAN DESERTS,2018,0,0.0,90,26247030981.980526,31601701452.16738,5354652071.280153,1.323163343482335,0.0,6.4857826070292175,7.8089504969804135
NORTH AMERICAN DESERTS,2019,0,0.0,94,26612089418.075054,31996331964.37402,5384223969.919873,1.330470718780745,0.0,6.575990511191661,7.90646582029565
NORTH AMERICAN DESERTS,2020,0,0.0,98,26811646394.818775,32215520178.068523,5403855065.543544,1.3353216681563274,0.0,6.625302114083596,7.960628407485858
NORTH AMERICAN DESERTS,2021,0,0.0,102,27046616654.59002,32687127759.802696,5640491976.726315,1.393795922398036,0.0,6.683364529792243,8.0771651789422
SOUTHERN SEMIARID HIGHLANDS,1996,0,0.0,3,22697856061.203236,23536100349.9855,838244288.7822539,0.20713467486505335,0.0,5.608762383816729,5.815897058681785
SOUTHERN SEMIARID HIGHLANDS,1997,0,0.0,7,23889905906.511856,24787941078.827797,898035172.3159542,0.22190932395766938,0.0,5.903324315744282,6.125233639701948
SOUTHERN SEMIARID HIGHLANDS,1998,0,0.0,11,25055576188.470993,25997037354.973843,941461166.5028467,0.23264012082317628,0.0,6.191367715603557,6.424007836426735
SOUTHERN SEMIARID HIGHLANDS,1999,0,0.0,15,25815497131.203796,26815671297.559532,1000174166.3557327,0.24714841905750948,0.0,6.379148270153798,6.626296689211309
SOUTHERN SEMIARID HIGHLANDS,2000,0,0.0,19,26039033357.222305,27048534876.995148,1009501519.772858,0.24945325828309423,0.0,6.434385274588592,6.683838532871682
SOUTHERN SEMIARID HIGHLANDS,2001,0,0.0,23,26629163400.377186,27703698913.1457,1074535512.7685242,0.2655235079401517,0.0,6.580209584104095,6.845733092044243
SOUTHERN SEMIARID HIGHLANDS,2002,0,0.0,27,26918145669.71836,28002489526.330963,1084343856.6125996,0.2679472024887405,0.0,6.651618658049242,6.919565860537983
SOUTHERN SEMIARID HIGHLANDS,2003,0,0.0,31,27679562366.4141,28775770942.817722,1096208576.4036152,0.2708790386004392,0.0,6.839768821453295,7.110647860053735
SOUTHERN SEMIARID HIGHLANDS,2004,0,0.0,35,28221093698.27708,29327671419.45572,1106577721.1786394,0.27344131007707934,0.0,6.973584127869078,7.2470254379461565
SOUTHERN SEMIARID HIGHLANDS,2005,0,0.0,39,28494370879.930748,29613035728.119534,1118664848.1888094,0.27642810420954084,0.0,7.041112390127927,7.317540494337462
SOUTHERN SEMIARID HIGHLANDS,2006,0,0.0,43,28795879012.62841,29936024683.474556,1140145670.846158,0.28173613108966145,0.0,7.11561667231782,7.397352803407479
